SHIP_NAME;INSPECTION_MONTH_YEAR;RISK_CLASSIFICATION;COMPLIANCE_INDEX;RISK_SCORE;SEASON
HORIZON (PACIFIC DRE;12/2010;C;90,76;310;Cruise Ship Inspection Program 2010/2011 - December 2010
SPLENDOUR OF THE SEA;12/2012;C;91,71;415;Cruise Ship Inspection Program 2012/2013 - December 2012
AZAMARA JOURNEY;02/2012;A;97,98;80;Cruise Ship Inspection Program 2011/2012 - February 2012
BOUDICCA;01/2013;A;100,00;0;Cruise Ship Inspection Program 2012/2013 - January 2013
NATIONAL GEOGRAPHIC ;10/2014;A;97,43;125;Cruise Ship Inspection Program 2014/2015 - October 2014
COSTA PACIFICA;11/2019;A;98,20;90;Cruise Ship Inspection Program 2019/2020 - November 2019
SEVEN SEAS MARINER;03/2016;C;92,70;365;Cruise Ship Inspection Program 2015/2016 - March 2016 
SPLENDOUR OF THE SEA;03/2013;A;99,40;30;Cruise Ship Inspection Program 2012/2013 - March 2013
SOVEREIGN (SOBERANO);10/2015;A;98,65;65;Cruise Ship Inspection Program 2015/2016 - December 2015
SOVEREIGN (SOBERANO);12/2016;A;97,60;120;Cruise Ship Inspection Program 2016/2017 - December 2016
COSTA LUMINOSA;01/2017;A;79,17;125;Cruise Ship Inspection Program 2016/2017 - January 2017
REGATTA;02/2017;A;100,00;0;Cruise Ship Inspection Program 2016/2017 - February 2017
OCEAN DREAM;01/2014;D;85,56;715;Cruise Ship Inspection Program 2013/2014 - January 2014
SEABOURN ODYSSEY;02/2011;D;77,05;770;Cruise Ship Inspection Program 2010/2011 - February 2011
RHAPSODY OF THE SEAS;01/2016;A;98,20;54;Cruise Ship Inspection Program 2015/2016 - December 2015
MSC PREZIOSA;01/2015;A;99,19;40;Cruise Ship Inspection Program 2014/2015 - January 2015
SEABOURN QUEST;11/2016;A;98,85;55;Cruise Ship Inspection Program 2016/2017 - November 2016
VOYAGER;03/2013;D;88,01;600;Cruise Ship Inspection Program 2012/2013 - March 2013
ORIENT QUEEN II;12/2013;D;63,89;1065;Cruise Ship Inspection Program 2013/2014 - December 2013
ZAANDAM;11/2018;B;95,76;210;Cruise Ship Inspection Program 2018/2019 -  November 2018
VIKING SUN;11/2019;A;100,00;0;Cruise Ship Inspection Program 2019/2020 - November 2019
